"dburl","title","budget","gross","abstract"
"http://dbpedia.org/resource/Noah_(2014_film)","Noah","1.25E8","3.626E8","Noah is a 2014 American epic biblical drama film co-written and directed by Darren Aronofsky, written by Ari Handel, and inspired by the story of Noah's Ark from the Book of Genesis. The film stars Russell Crowe as Noah, along with Jennifer Connelly, Emma Watson, Ray Winstone, Logan Lerman, Douglas Booth and Anthony Hopkins. The film was released in North American theaters on March 28, 2014, in 2D and IMAX, while several countries released a version of the film converted to 3D and IMAX 3D. Noah received generally positive reviews from critics and grossed over $362 million worldwide, but generated controversy with audiences."
"http://dbpedia.org/resource/The_Search_(2014_film)","The Search","2.5E7","600000.0","The Search is a 2014 French drama film written, directed, produced and co-edited by Michel Hazanavicius and co-produced by Thomas Langmann. The film is a reiteration of the Oscar-winning post-Holocaust drama also called The Search, directed by Fred Zinnemann, in which a compassionate westerner helps a lost child find what is left of his family amidst the chaotic flood of post-war civilian refugees. In the 1948 film, the backdrop is post-war Berlin; The Search (2014) takes place in the ""front lines of the Russian invasion of Chechnya"" during the first year of the Second Chechen War (1999-2009). In both cases, international aid workers help the families reunite. The Search was selected to compete for the Palme d'Or in the main competition section at the 2014 Cannes Film Festival."
"http://dbpedia.org/resource/300:_Rise_of_an_Empire","300: Rise of an Empire","1.1E8","3.376E8","300: Rise of an Empire is a 2014 American epic fantasy war film directed by Noam Murro. It is a follow-up to the 2007 film 300, taking place before, during and after the main events of that film and based on the Battle of Artemisium and the Battle of Salamis. It is based on the as-yet-unreleased Frank Miller graphic novel Xerxes. Zack Snyder, who directed and co-wrote the original film, acts as writer and producer on Rise of an Empire. The cast includes Lena Headey, Peter Mensah, David Wenham, Andrew Tiernan, Andrew Pleavin, and Rodrigo Santoro reprising their roles from the first film, alongside Sullivan Stapleton, Eva Green, Hans Matheson, and Callan Mulvey. It was released in 3D and IMAX 3D on March 7, 2014. The film's score was composed by Junkie XL. The film was released to mixed reviews, with critics praising the action sequences and Green's performance but criticizing the story and overstylized gore. It grossed over $337 million worldwide from a $110 million budget."
"http://dbpedia.org/resource/Chef_(film)","Chef","1.1E7","4.6E7","Chef is a 2014 American comedy-drama film written, produced, directed by and starring Jon Favreau, and co-starring Sofía Vergara, John Leguizamo, Scarlett Johansson, Oliver Platt, Bobby Cannavale, Dustin Hoffman, and Robert Downey, Jr. Favreau plays a professional chef who, after a public altercation with a food critic, quits his job at a popular Los Angeles restaurant and returns to his home town of Miami to fix up a food truck. He reconnects with his ex-wife and invites their young son to join him in driving the truck back to L.A. while selling Cubanos in various cities along the way. Favreau wrote the script after directing several big-budget films, wanting to go ""back to basics"" and to create a film about cooking. Food truck owner and chef Roy Choi served as a co-producer and oversaw all of the menus and food prepared for the film. Principal photography took place in July 2013 in Los Angeles, Miami, Austin and New Orleans. Chef premiered at South by Southwest on March 7, 2014 and was released theatrically on May 9, 2014 by Open Road Films. It grossed over US$45 million at the box office and was well received by critics."
"http://dbpedia.org/resource/Deliver_Us_from_Evil_(2014_film)","Deliver Us from Evil","3.0E7","8.79E7","Deliver Us from Evil is a 2014 American supernatural horror film directed by Scott Derrickson and produced by Jerry Bruckheimer. The film is officially based on a 2001 non-fiction book entitled Beware the Night by Ralph Sarchie and Lisa Collier Cool, and its marketing campaign highlighted that it was ""inspired by actual accounts"". The film stars Eric Bana, Édgar Ramírez, Sean Harris, Olivia Munn, and Joel McHale in the main roles and was released on July 2, 2014. Despite mixed reviews from critics, the film was a box office success, grossing $87.9 million against a $30 million budget."
"http://dbpedia.org/resource/Godzilla_(2014_film)","Godzilla","1.6E8","5.291E8","Godzilla is a 2014 American science fiction monster film directed by Gareth Edwards and a reboot of Toho's Godzilla franchise. It is the 30th film in the Godzilla franchise, the first film in Legendary's Godzilla–Kong film series, and the second Godzilla film to be completely produced by a Hollywood studio, the first being the 1998 film of the same name. It stars Aaron Taylor-Johnson, Ken Watanabe, Elizabeth Olsen, Juliette Binoche, Sally Hawkins, David Strathairn, and Bryan Cranston. The film is a co-production between Legendary Pictures and Warner Bros. Pictures, with the latter also distributing the film worldwide, except in Japan where it was distributed by Toho. The project initially began in 2004 and was originally intended to be an IMAX short film but was later transferred to Legendary for development as a feature film. Principal photography took place in the United States and Canada in 2013. Godzilla was released worldwide in 2D, 3D and IMAX on May 16, 2014 to positive reviews and was a box office success, grossing $200 million domestically and $529.1 million worldwide. The film's success prompted Toho to produce a reboot of their own and Legendary to proceed with sequels and a shared cinematic franchise, with Godzilla 2 set to be released in 2019 and Godzilla vs. Kong to be released in 2020."
"http://dbpedia.org/resource/No_Good_Deed_(2014_film)","No Good Deed","1.32E7","5.43E7","No Good Deed is a 2014 American thriller film directed by Sam Miller and written by Aimée Lagos. The film stars Idris Elba, Taraji P. Henson, Kate del Castillo, Mark Smith, Henry Simmons, Wilbur Fitzgerald and Frank Brennan. The film was released on September 12, 2014. Despite mixed to negative critical reception, the film was a box office success and received two Image Award nominations, winning one for Taraji P. Henson's performance."
"http://dbpedia.org/resource/The_Forger_(2014_film)","The Forger","1.1E7","1.6E7","The Forger is a 2014 American crime thriller film directed by Philip Martin and starring John Travolta. It started filming in October 2013. It was released to theaters on April 24, 2015."
"http://dbpedia.org/resource/3_Days_to_Kill","3 Days to Kill","2.8E7","5.26E7","3 Days to Kill is a 2014 French-American action thriller film directed by McG and written by Luc Besson and Adi Hasak. The film stars Kevin Costner, Amber Heard, Hailee Steinfeld, Connie Nielsen, Richard Sammel, and Eriq Ebouaney. The film was released on 21 February 2014."
"http://dbpedia.org/resource/A_Million_Ways_to_Die_in_the_West","A Million Ways to Die in the West","4.0E7","8.72E7","A Million Ways to Die in the West is a 2014 American western comedy film directed, produced by and starring Seth MacFarlane, who wrote the screenplay along with Alec Sulkin and Wellesley Wild. The film features an ensemble cast, including Charlize Theron, Amanda Seyfried, Neil Patrick Harris, Giovanni Ribisi, Sarah Silverman and Liam Neeson. It was produced by Media Rights Capital and distributed by Universal Pictures. The film was released on May 30, 2014."
